Date,Team1,Team1_Position,Team1_Points,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team1_Rounds_Contributed,Team2,Team2_Position,Team2_Points,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Team2_Rounds_Contributed,Score
31/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Rebels,25,57,30.8,0.98,0.64,0.7,49.38,68.6,0
26/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,0
25/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
24/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
19/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
18/01/2024,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,1
15/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,0
14/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,0
13/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,1
08/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,0
07/12/2023,Cloud9,11,263,47.6,1.07,0.67,0.67,46.68,73.76,MIBR,20,109,65.0,1.07,0.66,0.64,50.02,72.48,0
11/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,1
04/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
03/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,0
02/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,1
01/02/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,1
31/01/2024,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Spirit,3,634,71.4,1.19,0.72,0.6,46.4,76.28,0
17/12/2023,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
17/12/2023,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,1
16/12/2023,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,1
15/12/2023,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,GamerLegion,17,176,31.6,0.96,0.61,0.68,49.28,68.8,1
06/12/2023,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,3DMAX,30,38,42.9,1.07,0.67,0.65,51.08,73.12,0
09/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,0
06/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,0
05/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,1
03/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,Vitality,2,759,80.0,1.14,0.69,0.61,51.42,75.28,1
02/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,TheMongolz,23,98,73.9,1.09,0.69,0.66,53.5,71.32,1
01/02/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,Astralis,18,156,50.0,1.07,0.66,0.64,48.9,72.12,1
31/01/2024,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,BIG,19,116,54.5,1.11,0.68,0.63,49.44,74.94,0
